"Module","Role","ALN shard (v1)","Rust crate (edition 2024, rust‑version 1.85, Kani 0.67)","Lua harnesses (non‑actuating, gate‑first)","Phoenix pilots (RESEARCH / PILOT)","Real‑node classes (non‑actuating integration)"
"Prometheus‑Praxis Core","Global governance kernel (RoH 0.30, Lyapunov, PSAT/neurorights/treaty)","core/aln/PROMETHEUS-PRAXIS-GOVERNANCE-KERNEL-001.aln6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md","crates/prometheuspraxis (PraxisGovernanceKernel, KER lanes, RoH ceiling, Lyapunov corridor checks, Kani harnesses for “must Stop on violation”)","runtimelua/prometheuspraxis/guard_ecogovernancegate.lua for PSAT/treaty/neurorights pre‑gates; catalog in core/aln/prometheuspraxis_functioncatalog_prometheuspraxisfunctionsroot.aln.2e45191b-38e9-4746-a1e1-fddb5c20c822.md","1) City‑wide Lyapunov observability (non‑actuating dashboards over nanorobotics.obs.metrics.schema.v1.aln), 2) Governance kernel dry‑run over historic Phoenix canal and MAR telemetry.2a8e398a-2c8e-4d36-b82f-d68f15f8846e.md","Phoenix canal segments, MAR vaults, SCADA pump hosts, Smartflower POPe nodes; all wired as “city objects” with RoH/Lyapunov corridors, no torque/current fields.8e64b61b-ce5f-4664-8220-8e45038350ad.md"
"Kairos‑Executor","Time/lanes scheduler (when actions can execute under RoH/Lyapunov corridors)","qpudata/shards/prometheus-praxis-kairos-executor.v1.aln (KairosWindow, KairosDecision, lane profiles).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md","crates/prometheuspraxis_ker (lane thresholds, window selection, Kani harnesses proving Vnext≤Vcurrent+ϵV_{\text{next}} \le V_{\text{current}} + \epsilonVnext​≤Vcurrent​+ϵ and RoH ≤ 0.30)","runtimelua/prometheuspraxis/ecoindexdiagnostics.lua for reading eco workloads and blast‑radius windows before scheduling.2e45191b-38e9-4746-a1e1-fddb5c20c822.md","Phoenix Canal Eco‑Regime: non‑actuating scheduler for pump window proposals and drone/crew monitoring windows, emitting task graphs only.6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","Canal pumps, feeder gates, thermal corridors, air‑quality districts; Kairos drives “when” plans are proposed, not how actuators move."
"Physis‑Curator","Eco‑restoration planner (soil/aquifer Lyapunov envelopes, task graphs)","qpudata/shards/prometheus-praxis-physis-curator.v1.aln (RestorationScenario, RestorationStep; soil/aquifer Lyapunov schemas aligned with AirQualityNodeHealth2026v1.aln).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","crates/prometheuspraxis_physis_curator (site plans over Phoenix canals, bank soils, MAR recharge zones; Lyapunov residuals for soil/aquifer health)","runtimelua/prometheuspraxis/ecoindexdiagnostics.lua + future physis_curator_siteview.lua for non‑actuating eco diagnostics and per‑site manifests.2e45191b-38e9-4746-a1e1-fddb5c20c822.md+1","1) Phoenix Canal Eco‑Regime (soil/aquifer envelope calibration), 2) Tres Rios‑adjacent restoration manifests (daily non‑actuating work orders for drones/crews).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","Soil probes, canal bank transects, MAR recharge wells, Smartflower safety index feeds; cyboquatic robots appear as “eco work capacity” nodes, not as direct actuators.8e64b61b-ce5f-4664-8220-8e45038350ad.md"
"Hygeia‑Orchestrator","Clinical/nanoswarm care sequencing under PSAT, RoH, neurorights envelopes","core/aln/prometheus-praxishygeia-orchestrator.v1.aln (HygeiaProcedurePlan, ClinicalSessionEnvelope with PSAT, FPIC, neurorights).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","crates/prometheuspraxis_health (clinical plans, nanoswarm therapies, Kani proofs on lifeforce floors and RoH ceilings)","runtimelua/prometheuspraxis/guard_ecogovernancegate.lua for PSAT/neurorights gating; future hygeia_session_snapshot.lua for non‑actuating clinical snapshots.2e45191b-38e9-4746-a1e1-fddb5c20c822.md+1","Phoenix clinical observability pilots: non‑actuating dashboards and governance checks for nanoswarm/BCI sessions in RESEARCH lane; no direct stimulation outputs.2a8e398a-2c8e-4d36-b82f-d68f15f8846e.md","Nanoswarm capsules, BCI endpoints, clinic hosts; integration via observability and governance only (RoH gauges, Tsafe corridors) with hospital controllers owning actuation.2a8e398a-2c8e-4d36-b82f-d68f15f8846e.md"
"Synthsis‑Nexus","OTA/augmentation integration fabric (monotone capability vectors)","core/aln/prometheus-praxissynthesis-nexus.v1.aln (AugmentationStep, AugmentationStreamBinding).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md","crates/prometheuspraxis_synthesis (capability vectors, monotonicity Kani proofs, PSAT bindings)","Future runtimelua/prometheuspraxis/synthesis_stream_audit.lua for non‑actuating audit of OTA streams using metrics and governance snapshots.6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","Phoenix implant/augmentation registry (RESEARCH lane): non‑actuating monitoring of firmware/OTA evolution and capability vectors, no update commands.6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md","Implant registries, nanoswarm gateways, consent ledgers; interacts via DID/ledger and observability, not hardware APIs.2a8e398a-2c8e-4d36-b82f-d68f15f8846e.md"
"Nomos‑Enforcer","Policy‑to‑action translator (ISO 42001, EU AI Act, ThemisAxiom)","core/aln/prometheus-praxisnomos-enforcer.v1.aln (PolicyComplianceResult, ISO/EU risk mappings).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","crates/prometheuspraxis_treatygates (policy envelopes, lane constraints, Kani harnesses tying RoH/Lyapunov to lane verdicts)","runtimelua/prometheuspraxis/guard_ecogovernancegate.lua + ALN bindings in core/aln/prometheuspraxis_functioncatalog_ecogovernancegatefunctions.aln.2e45191b-38e9-4746-a1e1-fddb5c20c822.md","Pilot: Phoenix policy simulator over canal/cyboquatic missions – RESEARCH lane Nomos verdicts only, feeding planners but not controllers.6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","Treaty shards (regional water agreements, PFAS/PFBS limits), Phoenix zoning/permit nodes; binds macro‑tasks to legal risk bands, no actuator calls.abb758ad-96df-4004-b99e-691657f53f60.md"
"Aletheia‑Verifier","Provenance & Veritas‑Chain anchoring (no unanchored decisions)","core/aln/prometheus-praxisaletheia-verifier.v1.aln (VeritasAnchor, JanusCheckResult).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","crates/prometheuspraxis_provenance (decision logging, hex commitments, canonicalization rules, Veritas‑Chain client)","Future runtimelua/prometheuspraxis/aletheia_decision_view.lua for non‑actuating provenance explainers over governance decisions.abb758ad-96df-4004-b99e-691657f53f60.md","Pilot: Phoenix canal decision anchoring – every macro pump/eco plan proposal hashed, logged, and Veritas‑anchored; RESEARCH lane only.abb758ad-96df-4004-b99e-691657f53f60.md","Veritas‑Chain node, artifact provenance tables, Phoenix corridor “decision objects”; cyboquatic plans appear as anchored artifacts.abb758ad-96df-4004-b99e-691657f53f60.md"
"Demos‑Synaxis","Collective intelligence intake (Nosphere, Wachstum‑Faktor)","core/aln/prometheus-praxisdemos-synaxis.v1.aln (community contribution records, dual residuals Vsensor/Vcommunity).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","crates/prometheuspraxis_collectivefeed (weighting by eco‑impact and evidence richness, non‑coercive constraints)","Future runtimelua/prometheuspraxis/demos_intake.lua for non‑actuating community proposal ingestion, always downstream of governance gates.abb758ad-96df-4004-b99e-691657f53f60.md","Pilot: Phoenix corridor co‑design (canal segment and cyboquatic mission proposals from citizens, scored but not actuated).abb758ad-96df-4004-b99e-691657f53f60.md","Nosphere app shards, civic dashboards, canal corridor objects; inputs adjust priorities, never overwrite sensor Lyapunov planes.abb758ad-96df-4004-b99e-691657f53f60.md+1"
"Pros‑Optima","Multi‑capital optimizer (water, energy, waste, biotic, neurobiome, treaty)","core/aln/prometheus-praxisporos-optima.v1.aln (resource corridors, Lyapunov constraints).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md","crates/prometheuspraxis_optimizer (multi‑plane allocations, non‑compensation invariants, Lyapunov stability for canal/energy assets)","Future runtimelua/prometheuspraxis/prosoptima_planview.lua for non‑actuating resource plan inspection and tuning.8e64b61b-ce5f-4664-8220-8e45038350ad.md+1","Pilot: Phoenix multi‑capital corridor tuning over canals + Smartflower POPe + cyboquatic energy usage (RESEARCH lane optimization proposals).8e64b61b-ce5f-4664-8220-8e45038350ad.md+1","Grid storage nodes (Megapacks with eco‑per‑joule), Smartflower assets, canal pumps, cyboquatic cleaning capacity; controller stacks remain separate.8e64b61b-ce5f-4664-8220-8e45038350ad.md"
"Techn‑Incubator","Pilot lifecycle manager (KER + PSAT + non‑rollback)","core/aln/prometheus-praxistechne-incubator.v1.aln (pilot states, lane promotions).6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","crates/prometheuspraxis_pilots (pilot registry, monotone lane transitions, governance verdict logging)","Future runtimelua/prometheuspraxis/pilot_registry.lua for non‑actuating pilot enumerations and KO minting loops (ecoindexdiagnostics + KO ALN).2e45191b-38e9-4746-a1e1-fddb5c20c822.md","Pilots: 1) Phoenix Canal Eco‑Regime, 2) Cyboquatic Remediation Mission, 3) City‑wide Lyapunov Observability – all tracked as shards with lane/KER history.6b166564-ddb4-4a9a-8a32-6da1bd56e67b.md+1","Pilot KOs, shard instances, Phoenix corridor objects; connects to CI/CD and governance, never to hardware.2e45191b-38e9-4746-a1e1-fddb5c20c822.md+1"
