"Artifact","Type","Role","KER planes / coordinates","Lane / impact"
"db_db_base_tables.sql (shardinstance, residualkernel, residualterm, shardriskcoord, topologyriskmetric)","SQL","Core KER substrate; holds normalized K/E/R and per‑coord risk values","Coordinates like renergy, rcarbon, rbiodiversity, rtopology, plus any added (e.g. rgwcorridorviolation) via shardriskcoord/residualterm.ca84dd50-843f-426e-af63-dc4114a1b917.md","All; feeds vshardresidual/vshardker, lane queries filter by lane, kerdeployable.ca84dd50-843f-426e-af63-dc4114a1b917.md"
"db_db_planeweightsplane.sql + planeweightscontract","SQL","Global plane weights and non‑offsettable flags","Planes: ENERGY, CARBON, BIODIVERSITY, MATERIALS, DATAQUALITY, TOPOLOGY, RESPONSIBILITY, PORTFOLIODIVERSITY, with weight, nonoffsettable, thresholds.ca84dd50-843f-426e-af63-dc4114a1b917.md","All lanes; Kani harness loads these to enforce invariants (non‑offsettable, non‑compensation).ca84dd50-843f-426e-af63-dc4114a1b917.md+1"
"db_dblanelyapunovker.sql (vshardresidual, vshardtopologyker, vshardker, vshardkerviolation)","SQL","Computes VtV_tVt​, overlays topology, exposes full KER + residual; flags monotonicity violations","Uses all registered plane coordinates; vshardtopologyker specifically uses TOPOLOGY plane; violation view uses residual deltas window‑to‑window.ca84dd50-843f-426e-af63-dc4114a1b917.md","Lane‑aware via vshardker.lane; vshardkerviolation is used by CI and potential kernel freezing.ca84dd50-843f-426e-af63-dc4114a1b917.md"
"db_representationfloor.sql (representationfloor, vrepresentationflooractive)","SQL","Representation floors for region/plane combinations","Applies constraints on representation shares, backing rtopology and max trust weight caps.07dd115e-91e6-4373-96d5-63fb31f27654.md","Gating for lane promotion and eco‑wealth; violations surfaced via lane‑specific views.07dd115e-91e6-4373-96d5-63fb31f27654.md"
"db_educationcorridors.sql (educationmultipliercorridor, vstewardeffectiveker)","SQL","Corridors for education multiplier; computes effective K/E with bounded mkeducation","Uses Responsibility/dataquality planes to ensure knowledge gains only amplify K/E when physical E (deltaephys) improves.ca84dd50-843f-426e-af63-dc4114a1b917.md","Lane‑dependent caps on education effects; CI view prevents knowledge‑only inflation.ca84dd50-843f-426e-af63-dc4114a1b917.md"
"db_ecowealthview (ecowealthview)","SQL","EcoWealth portfolio view (StewardEcoWealthStatement × KER snapshots)","Combines EcoUnit with KER window metrics (kmean, emean, rmean, rtrust, reff).ca84dd50-843f-426e-af63-dc4114a1b917.md","Primary surface for rewards and portfolio AI‑chat queries.ca84dd50-843f-426e-af63-dc4114a1b917.md"
"db_ecocyboquaticviews.sql (vcyboquaticecoperjoule, vcyboquaticecoperjouleprod)","SQL","Cyboquatic ecoper‑joule views for carbon‑negative gating","Uses energy plane (joules from surplus or kW×time) and karma; implicit carbon plane links via CEIM.07dd115e-91e6-4373-96d5-63fb31f27654.md","PROD lane carbon‑negative predicate; used by lane views and schedulers.07dd115e-91e6-4373-96d5-63fb31f27654.md"
"db_ecoblastradiusrestoration.sql (vblastradiusrestoration)","SQL","Blast‑radius and restoration calculations","Blastradius plane, restoration radius, delta mass, delta karma; interacts with R and residual via guards.07dd115e-91e6-4373-96d5-63fb31f27654.md","Lane gating (PROD/EXPPROD) for high‑impact nodes; influences Mt6883 guard decisions.07dd115e-91e6-4373-96d5-63fb31f27654.md"
"db_ecoreward_governance_ecokarma.sql (new)","SQL","Eco‑reward governance (boot rewards, audits, eco‑repair stakes, brain‑bound delegations, ecoportfolioplane)","Trust plane (rtrust), portfolio planes (biomass, pollinators), responsibility deltas; KER snapshots reused.ca84dd50-843f-426e-af63-dc4114a1b917.md","Links KER to eco‑rewards, boot reward audits, quadratic eco‑repair staking.ca84dd50-843f-426e-af63-dc4114a1b917.md"
"db_corridor_vault_ecorewards_ledger.sql","SQL","Eco‑rewards ledger and corridor‑checked views","Integrates KER windows, stake batches, demurrage/delay; uses residual and R to gate liquidity vs liability.ca84dd50-843f-426e-af63-dc4114a1b917.md","Reward lane; used for payoff, quarantines, and AI‑chat ledger surfaces.ca84dd50-843f-426e-af63-dc4114a1b917.md"
